subject,bone,iters,A_before,A_after,rmsd_ab,rmsd_ba,rmsd_2way,rmsd,d_mean,d_min,d_max,d_median,d_std,d_95,d_5
22306R,tpm,400,232.12092536138053,221.68112349759204,0.007697129833848394,0.008286977513954892,0.007997493482207817,0.007997493482207817,0.005604401251514755,1.0984623216072817e-06,0.05147466149981992,0.003881314932521376,0.0057053123148497606,0.016901534508973106,0.0003363513781100074
22306R,tpm,800,232.12092536138053,217.6384442449006,0.014632527590907692,0.015123338180272242,0.014879956676911983,0.014879956676911983,0.010509077312979313,1.5546442467583996e-07,0.08557677874490216,0.007438870965456821,0.010534344058203199,0.0304842432524224,0.0006140617990406608
22306R,tpm,1600,232.12092536138053,212.9191214939558,0.0283737543788054,0.02874956601871798,0.028562278303852114,0.028562278303852114,0.020109268503022602,5.148591930766928e-07,0.1449993855698031,0.0137354689384377,0.02028351700716728,0.06017034304332786,0.0015015380324733096
50000R,tpm,25,167.8512623772673,166.7715329476703,0.0005623367418656711,0.0008106664063553902,0.0006976398188339242,0.0006976398188339242,0.000438543614566043,4.905082166620424e-08,0.008062203555423864,0.000285366577424774,0.0005425687191001527,0.001334572289692453,2.8224486485897823e-05
50000R,tpm,50,167.8512623772673,165.89200599786517,0.0010713344615188355,0.001463203052608268,0.0012823261483725595,0.0012823261483725595,0.0008236726764632766,6.533734224805016e-07,0.01321323876613982,0.0005427442225196449,0.000982814159873486,0.002525697638423294,5.4996428396221275e-05
50000R,tpm,100,167.8512623772673,164.49952162176407,0.002003351994083324,0.0025422329446075807,0.0022887078840303932,0.0022887078840303932,0.0015131329289377704,3.774104741719044e-07,0.020039533491431484,0.0010299059996104055,0.0017171524445392392,0.0046194981169475615,9.75611735562095e-05
50000R,tpm,200,167.8512623772673,162.49073074059123,0.0037368683616819717,0.004359126581216608,0.004059936557608314,0.004059936557608315,0.0027821381960200365,3.9935203005236346e-07,0.029875849045465436,0.0019377325527548924,0.002956821250946839,0.008442433182235075,0.00016638865376763205
50000R,tpm,400,167.8512623772673,159.81603167048462,0.007051282767234847,0.007662214520981013,0.007363087668534017,0.007363087668534017,0.005219401108628882,1.6316884528170065e-07,0.046031665373284014,0.0037441972553806484,0.005193545232474761,0.01547350849124789,0.0003566906146675929
50000R,tpm,800,167.8512623772673,156.49471856351136,0.013378069226848935,0.013933941886787022,0.013658833638761407,0.013658833638761407,0.00989319206355986,2.2956162325520805e-06,0.06984930388326252,0.007188118324993756,0.009417456512502531,0.028996796779173058,0.0007408626471545217
50000R,tpm,1600,167.8512623772673,152.60635313907304,0.02569064890964896,0.02614765536630951,0.025920159360564722,0.025920159360564722,0.01879788535259599,5.6512774534615185e-06,0.1217626841390941,0.01310845040060403,0.01784640489139838,0.055790411424176414,0.001337307514343678
50001R,tpm,25,250.90252748015467,249.25171876006345,0.0005793091170684874,0.0009786199248618987,0.0008041442689142846,0.0008041442689142846,0.0004166294405256474,1.079514114627066e-08,0.013478574457476055,0.00025185877990047193,0.0006877993272132326,0.0012501847996999515,2.26027979945159e-05
50001R,tpm,50,250.90252748015467,247.9200897537599,0.0010961566196726023,0.0017056464400623088,0.0014336647295217408,0.0014336647295217408,0.0007799902622103388,1.2330150258123601e-07,0.022372168245692547,0.00048532016740120794,0.0012029171823245745,0.002366173687326307,4.239332766001776e-05
50001R,tpm,100,250.90252748015467,245.8384389956339,0.0020253109702110445,0.0028215440634027137,0.0024559107707508732,0.0024559107707508737,0.0014296729271369994,6.32253223667311e-07,0.03366941347418507,0.0009203912303794898,0.0019968808265146106,0.00437406860161094,7.583262573574016e-05
50001R,tpm,200,250.90252748015467,242.89561106201157,0.0036993413550218727,0.004557642968782405,0.004150737036471159,0.004150737036471159,0.0026165686008615017,4.621347096226732e-07,0.0463166070858714,0.0017804815086529624,0.0032221400812067536,0.0077302383506178554,0.00015109928866679912
50001R,tpm,400,250.90252748015467,239.06992025680168,0.006764141112615115,0.0075131315770850405,0.007148452667744342,0.007148452667744341,0.004876868432977082,1.3540255897587281e-06,0.060933197834829735,0.0035239926248385785,0.00522652177173432,0.014310969800677873,0.0003040874567918088
50001R,tpm,800,250.90252748015467,234.4495348429003,0.012403026704652088,0.012926748412338276,0.01266759440367829,0.01266759440367829,0.009250038789106546,1.945962620241005e-06,0.08013770064816778,0.007148237879607951,0.008654751895700178,0.025801398334653912,0.0006440112303658411
50001R,tpm,1600,250.90252748015467,229.26129011485895,0.02315538481549402,0.02337069238190833,0.023263287690730636,0.023263287690730636,0.017828937410138045,6.394551964299612e-07,0.10540877080358653,0.014506684009387576,0.014943545262322454,0.047436395782912005,0.0012489170928551038
50006R,tpm,25,179.33319758845477,177.95311524379403,0.0005277021012479886,0.0007956415919244301,0.0006750981597003445,0.0006750981597003445,0.0004287282562865332,3.173563330469698e-08,0.007848526184326307,0.00029067358968218847,0.0005214878785669908,0.0012343266485256557,2.6796649923181336e-05
50006R,tpm,50,179.33319758845477,176.83674489018395,0.0010094722025569775,0.00142499339138998,0.0012348360808707268,0.0012348360808707266,0.0008070689279401892,7.605040991409254e-08,0.011780849524031555,0.0005576887246801287,0.0009345907618704828,0.002321853975787512,5.060284923721698e-05
50006R,tpm,100,179.33319758845477,175.0846476299285,0.00189950440885023,0.0024553552166820176,0.002195095241593068,0.0021950952415930682,0.0014918718839761415,5.534244458137984e-07,0.016262273632789547,0.0010575252137861482,0.0016102053910809044,0.004309786601184844,9.995413655757459e-05
50006R,tpm,200,179.33319758845477,172.60192570125645,0.00356272473212328,0.004178117906387249,0.0038826329183014887,0.0038826329183014887,0.0027639242824902973,5.743850404642402e-07,0.024517331143738434,0.002027412710507934,0.0027268224986124103,0.008021815235937597,0.00023649084640139651
50006R,tpm,400,179.33319758845477,169.40347992014154,0.0067263527183394215,0.007273802074416578,0.00700542709295083,0.007005427092950831,0.00521944610693896,1.443144656499457e-06,0.03510503389653972,0.003961303531567453,0.004672621436774999,0.014892227564242255,0.00042758578559034746
50006R,tpm,800,179.33319758845477,165.62270987694163,0.012731566458288074,0.013105035967355553,0.012919650772901886,0.012919650772901886,0.010040475470282409,2.828433631131046e-06,0.05255411530605737,0.007998959023487743,0.008130573683597092,0.02754806377034316,0.0010521451923899865
50006R,tpm,1600,179.33319758845477,161.4646630533445,0.02459953889952718,0.024672150796477464,0.024635871600102506,0.02463587160010251,0.019889147330073183,2.7675293139701844e-06,0.10520040942406193,0.016228238842455125,0.014537812351911136,0.05066879603937375,0.0030021011561122382
