subject,bone,bucket,r2_95,r2_50,r2_5,rmse_95,rmse_50,rmse_5,m_95,m_50,m_5
14685R,mc1,2.6,0.9522988796587923,0.930151570260039,0.9147991745411315,0.1701137257062659,0.20585119392960358,0.22735105185237264,-8.813318561965087,-4.4603642502074,-3.2297191100462284
14685R,mc1,2.7,0.953326921482386,0.9114536592289971,0.9055983994441262,0.17451127107652062,0.24036740077031862,0.2481875185473834,-8.581769497302384,-4.594623930222385,-3.325348044281716
14685R,mc1,2.8000000000000003,0.9577690859645036,0.9107884582232001,0.8947515303848955,0.17193498720402445,0.24989613691243803,0.27142941758507455,-8.624661481286108,-4.709408657115348,-3.42312476840734
14685R,mc1,2.9000000000000004,0.9600307111077134,0.9126836753402869,0.8819796342668046,0.17304236165884612,0.25576254591104924,0.29734983436201634,-8.482754176783478,-4.812665015629165,-3.5225457711756354
14726R,tpm,0.5,0.9707803532623317,0.9893257271846037,0.991950194520012,0.029193144683560986,0.017644629696191693,0.015322727993615462,-2.5030307659306485,-2.022113211633958,-1.8596050326502382
14726R,tpm,0.6000000000000001,0.9410406387711805,0.9871884998082946,0.9938911250245209,0.04856309760664753,0.022637579545265105,0.01563185846338025,-2.791527680547461,-2.133039575149873,-1.9051647121309097
14726R,tpm,0.7000000000000001,0.9435068771168431,0.9877529815249011,0.9946367726680684,0.054459975682750225,0.025356822946549763,0.01678003083806454,-3.0113043832840996,-2.2177039442500615,-1.951309160070085
14726R,tpm,0.8,0.9604482365464225,0.987537956019523,0.9953927837943427,0.05134962736221679,0.028823652302090295,0.017525631145376953,-3.0165948316290536,-2.3003175903368374,-1.9871012666514458
14726R,tpm,0.9,0.945125079466326,0.982071932253951,0.9957278375214201,0.06728432911182272,0.03845862177781542,0.01877374242080696,-3.2403720982525286,-2.4132099825806668,-2.0223325367530567
14726R,tpm,1.0,0.9508314039006953,0.9793007764852932,0.9948237498527148,0.07012032237469011,0.04549639932423912,0.022751373908591072,-3.3884706584477677,-2.5155738149441578,-2.070325753630494
14726R,tpm,1.1,0.9459812145011781,0.9800589267020964,0.9946996354474743,0.08023240371119526,0.04874742285154013,0.02513218605379581,-3.5762881644606623,-2.5940931057200096,-2.1089245077896623
14726R,tpm,1.2000000000000002,0.9423873714918817,0.9761557939935726,0.9945187110272381,0.08980962081612705,0.05777706154608274,0.027701632735033715,-3.7594002875639387,-2.696744592839591,-2.1462637543461764
14726R,tpm,1.3,0.9299612824784472,0.9622176949828161,0.9927364500227251,0.10668313642395578,0.0783557564272874,0.03435588554101379,-3.9679455528796654,-2.83197632963425,-2.1978357136517395
14726R,tpm,1.4000000000000001,0.9115901318540132,0.950142294622895,0.9923433993128091,0.12846468537014713,0.09647161069658212,0.03780518652613126,-4.1905769680965665,-2.9690486011360124,-2.2384396248481506
14726R,tpm,1.5,0.9108005712491622,0.947217853634952,0.9892073632307308,0.13767671774687604,0.10590659140286128,0.047889824738347374,-4.384237896160062,-3.0876947131043275,-2.2980727768073987
14726R,tpm,1.6,0.8971649142177749,0.9380172386355634,0.9868208687022761,0.1571000336974314,0.12196664596300379,0.05624047929608792,-4.604152712902703,-3.222395995838967,-2.3553774252516075
14726R,tpm,1.7000000000000002,0.8923061307820855,0.926674170612945,0.9823341169335813,0.17025745151922717,0.1404879677292058,0.068956992819518,-4.813976311863956,-3.363257449357924,-2.423126407523674
14726R,tpm,1.8,0.8808227607758456,0.9167433050931142,0.9780732994547815,0.18908509134050286,0.1580411606894413,0.08110493304087905,-5.035204506472402,-3.505000288810681,-2.4918491781516963
14726R,tpm,1.9000000000000001,0.8716662836740054,0.9073826323780575,0.9673554486802541,0.20656950568366342,0.17548582488137243,0.10418403579155194,-5.256901794080901,-3.6482710001575356,-2.578020444415238
14726R,tpm,2.0,0.8480839867573192,0.8971617650541285,0.9618614068462166,0.23601385168880024,0.19418381192438838,0.11825460169927449,-5.483696595243227,-3.7945038754657205,-2.656462536926162
