sub,bone,fel,b2b_rmsd,f2b_rmsd,f2f_rmsd,f2f_d_mean,f2f_d_median,f2f_d_std,f2f_d_max,f2f_d_99,f2f_d_95,b2b_d_mean,b2b_d_median,b2b_d_std,b2b_d_max,b2b_d_99,b2b_d_95,f2b_d_mean,f2b_d_median,f2b_d_std,f2b_d_max,f2b_d_99,f2b_d_95,field_points,field_cells,field_A,smooth_points,smooth_cells,smooth_A,smooth_V,remesh_points,remesh_cells,remesh_A,remesh_V
14726R,tpm,0.15,0.0011944091388312167,0.3779850174136615,0.0029188719940761816,0.0008011322799285217,0.0003451019397824525,0.0028067776520164173,0.13168014520976884,0.006614873139745979,0.0024781760017115744,0.0006103914135199292,0.00026982027997269253,0.0010266623170374334,0.016902573832645526,0.005278917726820921,0.002387558171316781,0.35810182518748607,0.3468800008361178,0.120978329409019,0.7914061078658773,0.6605227865790226,0.5811231448400211,12764,25039,191.36865597430122,9930,19856,1358.9305172740337,3487.7428176385233,29693,59382,1355.598953614393,3484.7774901691955
14726R,tpm,0.106,0.0006780128332631615,0.3786028565195256,,,,,,,,0.00035347175754238364,0.00019917817603025344,0.0005785837179608824,0.012691209368838328,0.0029050558859623917,0.0012528911963646482,0.35866136237152196,0.3487317167288873,0.12125242309557484,0.7930186479879501,0.6646736699686873,0.5797725467262722,23385,46128,191.97515529017738,9930,19856,1358.9305172740337,3487.7428176385233,51119,102234,1355.7141412101432,3484.8376422464207
14726R,mc1,0.6,0.008393852060981572,0.36914388126139774,0.022089678705410492,0.007119822562733648,0.0032463638333708605,0.020910811365976563,0.47399943993512494,0.10339248548060397,0.018615870596019782,0.005235128633880843,0.0030271461414593933,0.006561263644174458,0.06713266821983187,0.03238335187259085,0.01850600981995526,0.35294740687339543,0.3553417778871256,0.10814496314704063,0.7425814917882378,0.6323289584445407,0.545995379629998,829,1536,191.52846137457738,19638,39272,2689.158419524228,8009.037082194395,10723,21442,2683.961638324384,8001.4851934820235
14726R,mc1,0.424,0.004069823542780655,0.36799742181609074,0.010694373787532716,0.0035010785217996707,0.0015317032902620932,0.010105052196384731,0.2971318052268994,0.03270127775340319,0.010482679512344294,0.002319865584916863,0.001141659980143796,0.003343903009551865,0.0535104469430124,0.016423965377817724,0.008696527926073118,0.3519747633195493,0.35246250409151747,0.10740516025516221,0.7312042283847947,0.6258258789685882,0.5486190515954499,1535,2898,193.48356776004357,19638,39272,2689.158419524228,8009.037082194395,12415,24826,2684.716975690195,8002.779775724576
14726R,mc1,0.3,0.0026812273583966873,0.3696640545795289,0.006644471016196066,0.0020346895945715874,0.000919480298808058,0.006325269428159697,0.20132064088738838,0.018282235169779358,0.005724480455335735,0.0015584784423139444,0.0007979690033754268,0.0021817710907099256,0.03283808087930145,0.010848866593707845,0.0056671720463630105,0.3532176181411691,0.353868039908985,0.10903589997269812,0.7446476786820874,0.6289498469675339,0.5515263817007138,3194,6138,194.82880588381556,19638,39272,2689.158419524228,8009.037082194395,15937,31870,2684.9417100384653,8003.107752481651
14726R,mc1,0.212,0.001567335368770701,0.36798318167694494,0.004375981328477079,0.0011256927650110265,0.00046238966879326665,0.004228714743983312,0.20946454980568222,0.009619936795923437,0.003436015584576512,0.0008224717052463695,0.00035548784463865246,0.0013341965568343815,0.021464577547778387,0.00676253778367459,0.0032435619676116976,0.3512152793284068,0.3505309321824744,0.10981552514720604,0.7500459205437701,0.6325687368057008,0.5512430601470452,6123,11897,196.17682131624252,19638,39272,2689.158419524228,8009.037082194395,21895,43786,2685.1405123403442,8003.3330664950645
14726R,mc1,0.15,0.0010254662244121085,0.3686885093034136,0.0025691022121318023,0.0007642972271740017,0.0003474948383521653,0.0024527812631612,0.11148065241380536,0.006126410374221726,0.0023728684784839666,0.0005475480858696735,0.0002668066253228151,0.0008670479058682292,0.014446136627285779,0.004407006607409996,0.0020365044847728063,0.35192096551712343,0.3522906415542211,0.10992202200591532,0.7469737281206329,0.6325647672738431,0.5518422484671048,12593,24686,196.93748162047157,19638,39272,2689.158419524228,8009.037082194395,34575,69146,2685.2464611000178,8003.432000749527
14726R,mc1,0.106,0.0006501999519722974,0.3706000984211154,,,,,,,,0.0003438822644620427,0.00019290087752440392,0.0005518196858877323,0.011967107539797007,0.002830474561197285,0.0012054397077319527,0.3537376227664013,0.3530095794575334,0.11051754245057924,0.7416424894384124,0.6338734066340483,0.5540416490001822,24137,47583,197.00023667292172,19638,39272,2689.158419524228,8009.037082194395,56281,112558,2685.3417516450454,8003.50205299533
14727R,tpm,0.6,0.008419070376199383,0.5217770351985438,0.023346115896934652,0.006973325939525513,0.002941379823687384,0.022280346783976356,0.4469952470353353,0.11900669430445437,0.016431746518320797,0.004539917953530221,0.002164753377350156,0.007090126301739062,0.09613889155655166,0.036772038186710786,0.01676893908750581,0.4844248935322648,0.4908639146666277,0.1938654094644948,0.9013471508578694,0.8286754940383161,0.8004015168367015,647,1186,145.79811990930926,5552,11100,1050.0394388020022,2307.895188795052,4229,8454,1045.9862761557351,2304.517001988493
14727R,tpm,0.424,0.004926309349894107,0.5206286338867987,0.012894430641969983,0.003839821358685021,0.001703858685053578,0.012309431892413262,0.341011963290366,0.04215984663386225,0.01027602237510697,0.0027898173947919196,0.001407324927924255,0.004060226928949973,0.054782141517828696,0.020163637037984464,0.010382365250613727,0.48364870994286757,0.49356136363504877,0.19271247959962073,0.9016213226590581,0.8268297671047318,0.801526591577131,1197,2246,148.19630495943522,5552,11100,1050.0394388020022,2307.895188795052,5681,11358,1046.6381336406994,2305.248353945333
