sub,bone,iters,L_edge_mean,L_edge_median,L_edge_std,L_edge_max,L_edge_99,L_edge_95
50020R,mc1,20,0.18216235671178552,0.18143445097335328,0.01982247038387684,0.26453529065137305,0.22963829679662928,0.2163806135540686
50020R,mc1,40,0.18221159113800048,0.18163639503139603,0.019508962597799398,0.26433473097570903,0.2292870760963067,0.21567676507675937
50020R,mc1,80,0.1826589310715444,0.18215332826812508,0.01935158039045638,0.2629878324181639,0.22974627292171837,0.21567046158422493
50018L,tpm,1,0.17968569787196084,0.17771541857699746,0.02651183557162876,0.2903623598195797,0.24519387800770204,0.22601119441302334
50018L,tpm,5,0.1808792613581844,0.17947615440497938,0.021205935120216974,0.25931021962121015,0.23201220990302898,0.21769700023621863
50018L,tpm,10,0.18105523663004625,0.17984965943374587,0.020292499637835953,0.25839144722688406,0.2309020972963863,0.21636437159023494
50018L,tpm,20,0.18117163085689147,0.18002405394602483,0.019694272611040727,0.2564984600343552,0.2301902242914893,0.21558738714501724
50018L,tpm,40,0.1814268142332172,0.18044168032818758,0.01931547711632725,0.25400999980316835,0.22976962701641274,0.21517496695853616
50018L,tpm,80,0.18199547760661478,0.18108322672026764,0.01919944655034359,0.25541936105158153,0.2305616992996177,0.21541303349418905
50018L,mc1,1,0.18168911991831374,0.18007914926481183,0.025948417353189722,0.3127342801804767,0.2453904130782054,0.22678919835347555
50018L,mc1,5,0.18268829826477434,0.18147414413876195,0.020845295641813748,0.26260437924756247,0.23322301364233453,0.21850253428081215
50018L,mc1,10,0.18275722766449398,0.18166367271003256,0.020086844024751575,0.2636733774957182,0.23185623335137617,0.2173614765775806
50018L,mc1,20,0.18277020900008314,0.18186582966571294,0.019599405343998625,0.2642421238182913,0.23069553673300844,0.21643758684468176
50018L,mc1,40,0.18286094436461728,0.18216654467821672,0.019283188913422556,0.2622793358234595,0.22976733360933307,0.2158230617740777
50018L,mc1,80,0.18338416024279097,0.1826750256603234,0.01912603169117659,0.2593541786823653,0.23009959012044817,0.21611835183350966
50037L,tpm,1,0.18259043966911628,0.18122152190067126,0.02727540008202489,0.2937718332311612,0.24970935399984315,0.2297208631961291
50037L,tpm,5,0.1833433252495504,0.1823321419827048,0.021596964577720333,0.2609713777409395,0.23593826697101503,0.2205501530264651
50037L,tpm,10,0.18339907926450952,0.1826118013711135,0.020850931227443664,0.26156058571580265,0.2342761181972021,0.21943663318115889
50037L,tpm,20,0.1833903410390443,0.1826257511930512,0.02043961457470702,0.26406258727809356,0.23354783207661198,0.21874191399651643
50037L,tpm,40,0.1834927263958341,0.1827639050765637,0.020107123426394535,0.2631890765210482,0.23284378182879073,0.21809871274238843
50037L,tpm,80,0.18398588271460786,0.18336749984654926,0.019962829591339565,0.26098760506966295,0.2326255437154797,0.21822100035987568
50037L,mc1,1,0.18227156570074254,0.1809097565064418,0.025994708881873732,0.28303406155443095,0.24526084102958084,0.2269321792954516
50037L,mc1,5,0.18310930137742815,0.1821262336911092,0.020859259135129014,0.2597083364083626,0.23339083025000412,0.21904766828932473
50037L,mc1,10,0.18312655387533083,0.18227945578149363,0.02020483230706029,0.2576701379671371,0.23178543049954697,0.2179902425551976
50037L,mc1,20,0.18318513143639867,0.18236940532886176,0.019819325853321926,0.25557190768939925,0.23144631687495512,0.21734341487314462
50037L,mc1,40,0.18334284486112626,0.1825700961266618,0.019508623865824394,0.2550576993544832,0.2311312546237615,0.2167916730354863
50037L,mc1,80,0.1838172016792826,0.18308058335061286,0.019339008902203032,0.2558292594681138,0.23171213562416776,0.21676632118452843
14727R,tpm,1,0.18644952153969693,0.1843571533735478,0.030615261867067117,0.2829000000000013,0.2560523381475862,0.2399090661063011
14727R,tpm,5,0.18698269470143475,0.18557276200995304,0.02414634138690549,0.27522407234832535,0.24432647371525026,0.2293285655778026
14727R,tpm,10,0.18679488348228093,0.18544855080773998,0.022870668874773844,0.2666081206565172,0.2411591424590389,0.22651629844012333
14727R,tpm,20,0.18667208822642647,0.18547055022033906,0.021931889615626442,0.2660454096578284,0.2387591529116391,0.22406280369531345
14727R,tpm,40,0.18671111980659338,0.1855896279333603,0.021331556412030724,0.2665813384316527,0.23749951575322167,0.22307444945570107
14727R,tpm,80,0.18703992892287483,0.18600830626614165,0.02098852745725142,0.2645996220707767,0.23723327019643017,0.22279435584259116
