sub,bone,iters,rmsd,d_mean,d_95,d_max
15006R,tpm,1,0.004745828824990629,0.002265063609228241,0.009479381190300302,0.07668985935957859
15006R,tpm,2,0.004591795632732911,0.002217183273880804,0.009226098258636132,0.06818902557541123
15006R,tpm,4,0.004490037634052221,0.0021903177714189615,0.00910202437833088,0.06934594972826733
15006R,tpm,8,0.00441795090689353,0.0021593577592568824,0.008874753510400993,0.07011888216534712
15006R,tpm,16,0.004369411051659913,0.002143572357352623,0.008961840649803484,0.07076019161513411
15006R,tpm,32,0.004288750814719258,0.002132518739409683,0.009102142740936164,0.06849068154364914
15006R,tpm,64,0.0037550721372689314,0.0019023355456649078,0.008149123901414701,0.05679666083684345
15006R,mc1,1,0.0046960125825753355,0.0025836644034952757,0.009959755924878693,0.05885528499517127
15006R,mc1,2,0.004507115691212754,0.0024823123072380496,0.009496299015724541,0.05831386427947005
15006R,mc1,4,0.004298810254093761,0.0023907487201957132,0.008982254967882847,0.05795258153837762
15006R,mc1,8,0.0040679463341027206,0.0022778789182766163,0.008451694909357947,0.0568940605385153
15006R,mc1,16,0.0037703535990066257,0.002132626715101747,0.007867237451407633,0.05904192106487865
15006R,mc1,32,0.0033222196308037846,0.0019181857766527243,0.0070161160673734915,0.0504262165079172
15006R,mc1,64,0.002652563952544535,0.0015028458664667953,0.005574538182842389,0.057120859806782186
16276L,tpm,1,0.0045467016191616675,0.0021579255889207574,0.008926791104426908,0.07530095164939037
16276L,tpm,2,0.00450854940629708,0.0021383037747862745,0.008910580115558332,0.07100964271550599
16276L,tpm,4,0.004464894305418692,0.00212062805491752,0.008787798313373264,0.07008071951314872
16276L,tpm,8,0.004483490659671393,0.002116878660664348,0.008720029237992574,0.09202478855610229
16276L,tpm,16,0.004491608070100791,0.00211868663785464,0.008774370026154072,0.07486349967708356
16276L,tpm,32,0.004475606577691973,0.002100020220899991,0.008909504060251133,0.07722589430638666
16276L,tpm,64,0.0039002089517179237,0.0018036117322000195,0.0079036382566387,0.07981670262361422
16276L,mc1,1,0.004561589977207584,0.002402844440793556,0.009460401229503564,0.06395018117833272
16276L,mc1,2,0.004351716139722898,0.0023033959457957995,0.008976038589966987,0.06869942537478062
